,text
1143139,russian invasion in ukraine ukraine invasion kharkov danilovka district footage of the fire after the explosion
1143146,russian surrender it makes no sense to die for Putin's palaces and yachts they won't kill you and they will feed you well even let your mother call ukrainewar ukrainerussia news putin swift russia moscow war ukraine india france london uk usa japan brazil
1143405,morgenshterh give me a kick durov why doesn't he ban in the cart channels calling to put marks for blows and other pro-Kremlin whores stoprussia ukraine helpukraine
1143443,microdistrict danilovka explosion video danilovka microdistrict ukrainerussiawar ukrainerussia stoprussianaggression standwithukraine poutine prayforukraine ukraine ukrainewar ukrania
1143509,"kyiv ukraine ukraine do not plan to evacuate the population from vasylkiv ""there is no threat to people"" - speaker of the state emergency service of the kiev region victoria ruban"
1143788,"if, after the last nights of defense, someone says that Ukraine does not meet NATO standards, then I don’t even know what standards you still lack, thank the evil forces of Ukraine, of course, it’s too early to rejoice, but Kyiv has survived so far ukraine"
1144842,belarus ukraine russia the blow is aimed at the heart of ukraine and the tanks will not linger on the way... but ukraine and the people are invincible muscovites lie down in the grave don't be sad
1145342,"I know it’s hard to accept it all, but understand that the Russian military themselves don’t want all this, their bitch was stupidly kicked out to fight in another country, not by their will, no one wants a war in Russia except putin, but"
1145451,this is the attitude to war that the whole world should have no war❤️ yes hugs🥰 russiaukraineconflict nowar ukrainerussia russiaukraine pace stopthewar ❤️
1146108,anonymous group directly appealed to Putin ukraine russiaukraineconflict stoprussianaggression warinukraine putinisawarcriminal putin putin
1146569,Kherson region Oleshki flew to Ukraine for a concert in Kobzon
1146800,russians have to kill putin now no if you do a demo only so russians are allowed to go out into the world russia ukraine rusia saveukraine
1146813,"if, after the last nights of defense, someone says that Ukraine does not meet NATO standards, then I don’t even know what standards you still lack, thank the evil forces of Ukraine, of course, it’s too early to rejoice, but Kyiv has survived so far ukraine"
1146934,znakcom invaders we will kill you all you chose this path yourself you have a chance to surrender but time goes tick tock tick tock stopputin stopwar stoprussianaggression ukraine ukrainerussia stoprussia standwithukraine no war
1147248,"dear anonymous hack please, along with Putin, the accounts and families of Nazarbayev and Tokaev plizzzz anonimus"
1147791,ukraina no war nowar freenavalny lullaby if you can't sleep in the Kiev Kharkov metro
1147939,ukrainewar stopputin putinhitler standwithukraine налетай
1148248,flaming tank farm in vasilkov near kiev ukraine ukraine
1148946,i think i better write to you in due time and today i am informing you about it you don't need to distribute your lists to see that i have two sons too i love them both i want to tell you that more than my life is more than my view russia
1149185,the chinese embassy in russia said that the real threat to the world is the usa usa usa russia china
1149257,"for me personally, the answer is obvious russia unleashed a war with ukraine by scoring a huge bolt on all international treaties lying about it all the time throughout the long preparation for the invasion lying and now that it does not bear losses that only military facilities are attacked"
1149276,"you also don’t know what day of the week it is today, but you know for sure that the fourth russiaukrainewar fckputin can be overcome together"
1149311,and those who will not bear arms no I will not give up my sons no I will not give up my sons stopwar russia
1151527,anonymous group directly appealed to Putin ukraine russiaukraineconflict stoprussianaggression warinukraine putinisawarcriminal putin putin
1151555,state communications confirmed information about blown up gas pipeline in kharkov kharkov kharkiv ukrainerussia
1151877,ukraine ukraine a captured russian soldier calls a friend and tells the truth about the war and combat losses sun russia video on the channel
1152036,repswalwell and get the word out • russian soldiers • don't kill your slav brothers and sisters • dictator putin is your enemy not ukraine russianarmy russia ukraine kyiv kyiv
1152059,"Ukrainian businessman of Syrian origin tarik aljasem formed a detachment at his own expense to protect ukraine ""we will defend ourselves to the end, i will not let my house be destroyed again"" ukraine russia ukrainewar ukraine russiaukraineconflict ukrainerussia war"
1152079,thousands of Ukrainians from lviv are trying to leave for poland ukraine russia ukrainewar ukraine russiaukraineconflict ukrainerussia war stopputin
1152909,bankofrussia the price of the ruble will fall by half on Monday get your money on Sunday vtb swift ruble
1153270,in russia for the first time recognized losses in the war with ukraine head of dagestan sergey melikov expressed condolences to the family of officer nurmagomed gadzhimagomedov ukraine russia ukrainewar ukraine russiaukraineconflict ukrainerussia war stopputin
1153380,thank you very much turkey for the bayraktar and ammunition delivered to it by ukraine it is worth more than a thousand words thank you very much
1153559,bankofrussia the price of the ruble will fall by half on Monday get your money on Sunday vtb swift ruble
1153775,ukraine ukraine a captured russian soldier calls a friend and tells the truth about the war and combat losses sun russia video on the channel
1153942,bankofrussia the price of the ruble will fall by half on Monday get your money on Sunday vtb swift ruble
1154298,bankofrussia the price of the ruble will fall by half on Monday get your money on Sunday vtb swift ruble
1154385,stalingulag invaders we will kill you all you yourself have chosen this path you are the end there is a chance to surrender but time goes tick tock tick tock stopputin stopwar stoprussianaggression ukraine ukrainerussia stoprussia standwithukraine no war
1154496,ukraine ukraine a captured russian soldier calls a friend and tells the truth about the war and combat losses sun russia video on the channel
1154720,bankofrussia the price of the ruble will fall by half on Monday get your money on Sunday vtb swift ruble
1156143,pikabuvk invaders we will kill you all you yourself have chosen this path you are the end there is a chance to surrender but time goes tick tock tick tock stopputin stopwar stoprussianaggression ukraine ukrainerussia stoprussia standwithukraine no war
1156297,flaming tank farm in vasilkov near kiev ukraine ukraine
1156692,"Ukrainian businessman of Syrian origin tarik aljasem formed a detachment at his own expense to protect ukraine ""we will defend ourselves to the end, i will not let my house be destroyed again"" ukraine russia ukrainewar ukraine russiaukraineconflict ukrainerussia war"
1156811,pikabuvk invaders we will kill you all you yourself have chosen this path you are the end there is a chance to surrender but time goes tick tock tick tock stopputin stopwar stoprussianaggression ukraine ukrainerussia stoprussia standwithukraine no war
1157476,executive rap vein was the oligarchy putin crooked man
1158211,breaking russia ukraine belarus
1158296,❗️❗️rt❗️❗️ukrainewar stopwar no war russia site and telegram channel look for your own to identify captured and killed Russian soldiers
1158506,"in the cities daily meetings of citizens against the war are held, most of the youth seem to have grown up a growth that you can’t mow down in this way it all began"
1158587,"I always had problems sleeping and no regimen, but what I have now is just stopwar standwithukraine no war ukraine kharkiv russiaukrainewar"
1159130,vrsoloviev no losses putinhitler russiaukrainewar
1159179,russia putin putin's new speech has become a trendy topic on weibo china's largest online forum look at the comments of the speech of chinese internet users most of whom are on the russian side although i don't know russian and can only translate it with a translator
1159689,for russian people we hear you you must resist the authorities and fight for what you believe in we will support you
1159922,from telegram Azerbaijanis started taking pictures of military tickets of Armenian soldiers who died in Artsakh in 2008 and spreading them on Ukrainian websites as evidence of the participation of Armenian military in hostilities in Ukraine ukraine
